id: 454083262608239402, distance: 0.7072958946228027, entity: {'Metaphone_Name': 'PRFSJKRN', 'Title_Code': 'MAHHIN10392', 'Title_Name': 'PRAVASI JAGRAN'}
id: 454083262608239399, distance: 0.7041783928871155, entity: {'Metaphone_Name': 'PHJNJKRN', 'Title_Code': 'MAHBIL05860', 'Title_Name': 'BAHUJAN JAGRAN'}
id: 454083262608250706, distance: 0.7012470364570618, entity: {'Metaphone_Name': 'ANTNSMKR', 'Title_Code': 'DELURD00579', 'Title_Name': 'INDIAN SAMACHAR'}
id: 454083262608239543, distance: 0.699657678604126, entity: {'Metaphone_Name': 'SRJKRN', 'Title_Code': 'UTTHIN01631', 'Title_Name': 'SURYA JAGRAN'}
id: 454083262608239486, distance: 0.699657678604126, entity: {'Metaphone_Name': 'SRJKRN', 'Title_Code': 'UPHIN14758', 'Title_Name': 'SURYA JAGRAN'}
id: 454083262608252745, distance: 0.69939124584198, entity: {'Metaphone_Name': 'SMKRNT', 'Title_Code': 'UPHIN35849', 'Title_Name': 'SAMACHAR INDIA'}
id: 454083262608239534, distance: 0.6989354491233826, entity: {'Metaphone_Name': 'JKRN', 'Title_Code': 'UPHIN13936', 'Title_Name': 'JAGRAN'}
id: 454083262608239462, distance: 0.6989354491233826, entity: {'Metaphone_Name': 'JKRN', 'Title_Code': 'UPHIN13782', 'Title_Name': 'JAGRAN'}
id: 454083262608239466, distance: 0.6989354491233826, entity: {'Metaphone_Name': 'JKRN', 'Title_Code': 'UPHIN02761', 'Title_Name': 'JAGRAN'}
id: 454083262608239528, distance: 0.6989354491233826, entity: {'Metaphone_Name': 'JKRN', 'Title_Code': 'UPHIN26570', 'Title_Name': 'JAGRAN'}
id: 454083262608239549, distance: 0.6989354491233826, entity: {'Metaphone_Name': 'JKRN', 'Title_Code': 'WBBEN08039', 'Title_Name': 'JAGRAN'}
id: 454083262608239449, distance: 0.6989354491233826, entity: {'Metaphone_Name': 'JKRN', 'Title_Code': 'RAJHIN06338', 'Title_Name': 'JAGRAN'}
id: 454083262608239338, distance: 0.6980599761009216, entity: {'Metaphone_Name': 'KXNJKRN', 'Title_Code': 'CHAHIN00427', 'Title_Name': 'KISHAN JAGRAN'}
id: 454083262608252457, distance: 0.6977645754814148, entity: {'Metaphone_Name': 'SMRNT', 'Title_Code': 'UPHIN48348', 'Title_Name': 'SAMAR INDIA'}
