Title_Code,Title_Name,Metaphone_Name,distance
BIHHIN05109,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
BIHHIN05120,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN02760,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
PUNHIN01501,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN44697,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
HPHIN00634,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
JHAHIN00592,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
JHAHIN00506,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
BIHHIN04420,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN26566,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
MPHIN20962,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN13783,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
JKHIN00247,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
MPHIN14602,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
CHAHIN00377,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
PUNHIN01500,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN44698,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN33367,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
PUNHIN01567,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
HARHIN11033,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
HARHIN05890,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UTTHIN00213,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
MPHIN01465,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
HARHIN04620,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN13545,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN26571,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
HARHIN11096,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
PUNHIN01568,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
PUNHIN01349,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
HARHIN04432,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UTTHIN03589,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
WBHIN01556,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN26572,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
DELHIN01008,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
MPHIN07284,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
JHAHIN00069,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
WBHIN01591,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN44699,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN47144,DAINIK JAGRAN,TNKJKRN,0.9999982118606567
UPHIN26570,JAGRAN,JKRN,0.7871156930923462
RAJHIN06338,JAGRAN,JKRN,0.7871156930923462
