id: 453901917307669306, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669171, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669253, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669263, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669251, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669309, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669167, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669168, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669222, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669174, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669197, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669282, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669189, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669162, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669163, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669225, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669218, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669170, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669330, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669332, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669268, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669203, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669271, distance: 0.7971327900886536, entity: {'Title_Name': 'DAINIK JAGRAN', 'NYSIIS_Name': 'DAINIC JAGRAN'}
id: 453901917307669118, distance: 0.7969239354133606, entity: {'Title_Name': 'KISHAN JAGRAN', 'NYSIIS_Name': 'CISHAN JAGRAN'}
id: 453901917307669328, distance: 0.7955358028411865, entity: {'Title_Name': 'SATAT JAGRAN', 'NYSIIS_Name': 'SATAT JAGRAN'}
id: 453901917307669204, distance: 0.795074462890625, entity: {'Title_Name': 'KHATIK JAGRAN', 'NYSIIS_Name': 'CHATIC JAGRAN'}
id: 453901917307669125, distance: 0.7927975058555603, entity: {'Title_Name': 'JANHIT JAGRAN', 'NYSIIS_Name': 'JANHIT JAGRAN'}
id: 453901917307669313, distance: 0.7926398515701294, entity: {'Title_Name': 'VAIDIK JAGRAN', 'NYSIIS_Name': 'VAIDIC JAGRAN'}
id: 453901917307669191, distance: 0.7914772033691406, entity: {'Title_Name': 'PATRAKAR JAGRAN', 'NYSIIS_Name': 'PATRACAR JAGRAN'}
id: 453901917307669281, distance: 0.7900055050849915, entity: {'Title_Name': 'SWARAJ JAGRAN', 'NYSIIS_Name': 'SWARAJ JAGRAN'}
id: 453901917307669195, distance: 0.7890883684158325, entity: {'Title_Name': 'VANDE JAGRAN', 'NYSIIS_Name': 'VANDE JAGRAN'}
id: 453901917307669177, distance: 0.7883266806602478, entity: {'Title_Name': 'VYAVSAI JAGRAN', 'NYSIIS_Name': 'VYAVSAI JAGRAN'}
id: 453901917307669198, distance: 0.7883138656616211, entity: {'Title_Name': 'SHOSIT JAGRAN', 'NYSIIS_Name': 'SHOSIT JAGRAN'}
id: 453901917307669240, distance: 0.788116455078125, entity: {'Title_Name': 'SAMPURNA JAGRAN', 'NYSIIS_Name': 'SAMPURNA JAGRAN'}
id: 453901917307669111, distance: 0.788116455078125, entity: {'Title_Name': 'SAMPURNA JAGRAN', 'NYSIIS_Name': 'SAMPURNA JAGRAN'}
id: 453901917307669272, distance: 0.786681592464447, entity: {'Title_Name': 'KHAS JAGRAN', 'NYSIIS_Name': 'CHAS JAGRAN'}
id: 453901917307669278, distance: 0.786681592464447, entity: {'Title_Name': 'KHAS JAGRAN', 'NYSIIS_Name': 'CHAS JAGRAN'}
id: 453901917307669296, distance: 0.7861592769622803, entity: {'Title_Name': 'UDYOG JAGRAN', 'NYSIIS_Name': 'UDYOG JAGRAN'}
id: 453901917307669259, distance: 0.785102903842926, entity: {'Title_Name': 'KRANTI JAGRAN', 'NYSIIS_Name': 'CRANTI JAGRAN'}
id: 453901917307669188, distance: 0.7848747968673706, entity: {'Title_Name': 'JAN JAN JAGRAN', 'NYSIIS_Name': 'JAN JAN JAGRAN'}
id: 453901917307669269, distance: 0.7848747968673706, entity: {'Title_Name': 'JAN JAN JAGRAN', 'NYSIIS_Name': 'JAN JAN JAGRAN'}
id: 453901917307673641, distance: 0.7847380042076111, entity: {'Title_Name': 'PROJECTOR TIMES', 'NYSIIS_Name': 'PROJECTOR TIME'}
id: 454083262670781075, distance: 0.7847380042076111, entity: {'Title_Name': 'PROJECTOR TIMES', 'NYSIIS_Name': 'PRAJACTARTAN'}
id: 453901917307669126, distance: 0.783161461353302, entity: {'Title_Name': 'UTTRAKHAND JAGRAN', 'NYSIIS_Name': 'UTRACHAND JAGRAN'}
id: 453901917307669196, distance: 0.7830058932304382, entity: {'Title_Name': 'KAURAV JAGRAN', 'NYSIIS_Name': 'CAURAV JAGRAN'}
id: 453901917307669159, distance: 0.7826033234596252, entity: {'Title_Name': 'JAN JAGRAN', 'NYSIIS_Name': 'JAN JAGRAN'}
id: 453901917307669123, distance: 0.7826033234596252, entity: {'Title_Name': 'JAN JAGRAN', 'NYSIIS_Name': 'JAN JAGRAN'}
id: 453901917307669331, distance: 0.7826033234596252, entity: {'Title_Name': 'JAIN JAGRAN', 'NYSIIS_Name': 'JAIN JAGRAN'}
id: 453901917307669224, distance: 0.7826033234596252, entity: {'Title_Name': 'JAN JAGRAN', 'NYSIIS_Name': 'JAN JAGRAN'}
id: 453901917307669152, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669146, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669153, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669133, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669128, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669132, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669138, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669139, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669142, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669143, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669131, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669134, distance: 0.7824400067329407, entity: {'Title_Name': 'SAHAKAR JAGRAN', 'NYSIIS_Name': 'SAHACAR JAGRAN'}
id: 453901917307669154, distance: 0.7822742462158203, entity: {'Title_Name': 'GURJAR JAGRAN', 'NYSIIS_Name': 'GURJAR JAGRAN'}
id: 453901917307669270, distance: 0.7805101871490479, entity: {'Title_Name': 'JAGTA RAHEGA JAGRAN', 'NYSIIS_Name': 'JAGTA RAHEGA JAGRAN'}
id: 453901917307669200, distance: 0.7797670364379883, entity: {'Title_Name': 'BALMIK JAGRAN', 'NYSIIS_Name': 'BALMIC JAGRAN'}
